country,year,children,child_mortality,income,life,population,continent
Afghanistan,1800,7.0,469.0,603.0,28.2,3280000,Asia
Albania,1800,4.6,375.0,667.0,35.4,400000,Europe
Algeria,1800,6.99,460.0,715.0,28.8,2500000,Africa
Andorra,1800,,,1200.0,,2650,Europe
Angola,1800,6.93,486.0,618.0,27.0,1570000,Africa
Antigua and Barbuda,1800,5.0,474.0,757.0,33.5,37000,North America
Argentina,1800,6.8,402.0,1640.0,33.2,534000,South America
Armenia,1800,7.8,371.0,514.0,34.0,413000,Europe
Australia,1800,6.5,391.0,817.0,34.0,200000,Oceania
Austria,1800,5.1,387.0,1850.0,34.4,3000000,Europe
Azerbaijan,1800,8.1,384.0,775.0,29.2,880000,Europe
Bahamas,1800,5.9,471.0,1450.0,35.2,27400,North America
Bahrain,1800,7.03,440.0,1240.0,30.3,64500,Asia
Bangladesh,1800,6.7,508.0,876.0,25.5,19200000,Asia
Barbados,1800,4.96,470.0,913.0,32.1,81700,North America
Belarus,1800,7.0,366.0,608.0,36.2,2360000,Europe
Belgium,1800,4.85,322.0,2390.0,40.0,3250000,Europe
Belize,1800,6.69,467.0,579.0,26.5,25500,North America
Benin,1800,5.55,430.0,597.0,31.0,637000,Africa
Bhutan,1800,6.67,463.0,629.0,28.8,392000,Asia
Bolivia,1800,6.48,405.0,854.0,33.0,887000,South America
Bosnia and Herzegovina,1800,5.91,379.0,669.0,35.1,852000,Europe
Botswana,1800,6.47,397.0,397.0,33.6,121000,Africa
Brazil,1800,6.26,417.0,1120.0,32.0,2500000,South America
Brunei,1800,7.06,455.0,1510.0,29.2,2260,Asia
Bulgaria,1800,5.16,370.0,1090.0,35.8,2250000,Europe
Burkina,1800,6.03,455.0,480.0,29.2,1670000,Africa
Burma (Myanmar),1800,6.03,433.0,594.0,30.8,6000000,Asia
Burundi,1800,6.8,424.0,418.0,31.5,899000,Africa
CZ,1800,5.33,380.0,1920.0,35.0,5520000,Europe
Cambodia,1800,6.95,380.0,384.0,35.0,2090000,Asia
Cameroon,1800,5.54,460.0,626.0,28.8,1860000,Africa
Canada,1800,5.72,333.0,1310.0,39.0,500000,North America
Cape Verde,1800,6.43,395.0,529.0,33.8,55700,Africa
Central African Republic,1800,6.51,444.0,424.0,30.0,479000,Africa
Chad,1800,6.06,432.0,418.0,30.9,1430000,Africa
Chile,1800,5.98,417.0,744.0,32.0,771000,South America
China,1800,5.5,417.0,736.0,32.0,330000000,Asia
Colombia,1800,6.19,417.0,937.0,32.0,1210000,South America
Comoros,1800,6.01,416.0,696.0,32.1,56300,Africa
Congo,1800,5.67,409.0,575.0,32.7,314000,Africa
Costa Rica,1800,6.93,441.0,775.0,30.2,53000,North America
Croatia,1800,5.75,367.0,1080.0,36.1,1230000,Europe
Cuba,1800,5.78,415.0,902.0,32.2,272000,North America
Cyprus,1800,6.03,339.0,853.0,38.5,184000,Europe
Denmark,1800,4.04,380.0,2010.0,37.4,1000000,Europe
Djibouti,1800,6.3,445.0,752.0,29.9,22800,Africa
Dominica,1800,,,663.0,,20000,North America
Dominican Republic,1800,6.16,445.0,667.0,29.9,150000,North America
East Timor,1800,6.52,445.0,521.0,28.9,137000,Asia
Ecuador,1800,6.98,406.0,529.0,32.9,500000,South America
Egypt,1800,6.06,405.0,1590.0,33.0,3500000,Africa
El Salvador,1800,5.9,462.0,974.0,28.7,248000,North America
Equatorial Guinea,1800,5.51,447.0,356.0,29.8,80400,Africa
Eritrea,1800,6.96,441.0,532.0,30.2,205000,Africa
Estonia,1800,5.59,362.0,938.0,36.1,334000,Europe
Ethiopia,1800,7.17,448.0,523.0,29.7,12000000,Africa
Fiji,1800,6.45,499.0,785.0,26.1,131000,Oceania
Finland,1800,4.92,420.0,1230.0,36.6,800000,Europe
France,1800,4.41,412.0,1850.0,34.0,29000000,Europe
Gabon,1800,6.5,436.0,390.0,30.6,158000,Africa
Gambia,1800,6.51,460.0,813.0,28.8,103000,Africa
Georgia,1800,7.8,397.0,543.0,31.9,1070000,Europe
Germany,1800,5.4,340.0,1990.0,38.4,18000000,Europe
Ghana,1800,6.43,471.0,696.0,28.0,2020000,Africa
Greece,1800,6.03,361.0,1370.0,36.6,2250000,Europe
Grenada,1800,5.81,472.0,959.0,31.4,29400,North America
Guatemala,1800,6.45,503.0,857.0,25.8,463000,North America
Guinea,1800,6.11,451.0,450.0,29.5,984000,Africa
Guinea-Bissau,1800,7.25,417.0,567.0,32.0,218000,Africa
Guyana,1800,5.01,429.0,1210.0,31.1,166000,South America
Haiti,1800,6.31,486.0,633.0,29.0,500000,North America
Honduras,1800,6.05,393.0,675.0,33.9,130000,North America
Hungary,1800,5.18,368.0,1250.0,36.0,3250000,Europe
Iceland,1800,4.88,412.0,926.0,42.9,61400,Europe
India,1800,5.95,509.0,863.0,25.4,201000000,Asia
Indonesia,1800,6.07,444.0,990.0,30.0,16100000,Asia
Iran,1800,7.08,506.0,1530.0,25.6,6000000,Asia
Iraq,1800,7.13,428.0,3840.0,31.2,1000000,Asia
Ireland,1800,4.2,348.0,1460.0,38.3,5250000,Europe
Israel,1800,6.0,448.0,879.0,32.0,210000,Asia
Italy,1800,5.47,457.0,2780.0,29.7,19000000,Europe
Jamaica,1800,5.13,390.0,1360.0,34.2,300000,North America
Japan,1800,4.08,363.0,1010.0,36.4,28000000,Asia
Jordan,1800,6.97,421.0,1130.0,31.7,200000,Asia
Kazakhstan,1800,6.45,497.0,1140.0,26.2,2040000,Asia
Kenya,1800,6.91,508.0,854.0,25.5,2570000,Africa
Kiribati,1800,5.67,453.0,551.0,24.9,17900,Oceania
"Korea, North",1800,6.1,500.0,250.0,26.0,4350000,Asia
"Korea, South",1800,6.0,503.0,462.0,25.8,9400000,Asia
Kuwait,1800,6.87,500.0,1100.0,26.0,81300,Asia
Kyrgyzstan,1800,6.58,383.0,508.0,23.9,530000,Asia
Laos,1800,6.13,419.0,864.0,31.9,470000,Asia
Latvia,1800,5.2,405.0,751.0,33.0,591000,Europe
Lebanon,1800,5.74,448.0,2150.0,29.7,300000,Asia
Lesotho,1800,5.84,407.0,351.0,32.8,276000,Africa
Liberia,1800,6.19,429.0,797.0,31.1,314000,Africa
Libya,1800,7.2,405.0,1050.0,33.1,230000,Africa
Liechtenstein,1800,,,,,5800,Europe
Lithuania,1800,5.76,459.0,1270.0,28.9,779000,Europe
Luxembourg,1800,4.78,357.0,1450.0,36.9,127000,Europe
Macedonia,1800,5.9,397.0,690.0,36.1,392000,Europe
Madagascar,1800,6.89,437.0,573.0,30.5,1500000,Africa
Malawi,1800,6.78,440.0,350.0,30.3,737000,Africa
Malaysia,1800,5.45,436.0,1120.0,30.6,287000,Asia
Maldives,1800,5.98,458.0,842.0,32.6,42400,Asia
Mali,1800,6.23,494.0,603.0,26.4,1400000,Africa
Malta,1800,5.49,460.0,781.0,28.7,134000,Europe
Marshall Islands,1800,,,539.0,,5830,Oceania
Mauritania,1800,6.34,417.0,527.0,32.0,383000,Africa
Mauritius,1800,5.03,428.0,940.0,28.7,59000,Africa
Mexico,1800,6.8,487.0,1560.0,26.9,5100000,North America
Micronesia,1800,6.02,451.0,518.0,26.7,16400,Oceania
Moldova,1800,6.39,397.0,621.0,33.1,713000,Europe
Monaco,1800,,,1950.0,,7790,Europe
Mongolia,1800,5.94,420.0,592.0,31.8,600000,Asia
Montenegro,1800,5.9,375.0,1060.0,35.4,127000,Europe
Morocco,1800,6.5,403.0,714.0,33.1,2500000,Africa
Mozambique,1800,6.63,440.0,390.0,30.3,2000000,Africa
Namibia,1800,5.96,412.0,540.0,32.4,229000,Africa
Nauru,1800,,,554.0,,1830,Oceania
Nepal,1800,6.15,407.0,621.0,32.8,4000000,Asia
Netherlands,1800,5.11,324.0,3330.0,39.9,2000000,Europe
New Zealand,1800,5.25,391.0,658.0,34.0,200000,Oceania
Nicaragua,1800,6.16,509.0,973.0,25.4,186000,North America
Niger,1800,6.83,433.0,446.0,30.8,853000,Africa
Nigeria,1800,6.55,438.0,851.0,30.4,12100000,Africa
Norway,1800,4.32,336.0,2530.0,37.9,900000,Europe
Oman,1800,6.88,414.0,915.0,32.3,300000,Asia
Pakistan,1800,6.59,502.0,1020.0,25.8,13100000,Asia
Palau,1800,,,839.0,,3880,Oceania
Panama,1800,5.36,406.0,847.0,32.9,75600,North America
Papua New Guinea,1800,6.23,424.0,546.0,31.5,755000,Oceania
Paraguay,1800,6.49,374.0,835.0,35.5,300000,South America
Peru,1800,6.82,372.0,1120.0,35.7,1270000,South America
Philippines,1800,6.45,432.0,1090.0,30.9,2500000,Asia
Poland,1800,6.28,369.0,1100.0,35.9,9000000,Europe
Portugal,1800,4.5,373.0,1730.0,35.6,2750000,Europe
Qatar,1800,6.97,433.0,1100.0,30.8,14100,Asia
Romania,1800,5.22,372.0,377.0,35.7,5500000,Europe
Russian Federation,1800,7.0,419.0,1430.0,29.6,31300000,Asia
Rwanda,1800,7.07,420.0,431.0,31.8,928000,Africa
Saint Kitts and Nevis,1800,,,1160.0,,17200,North America
Saint Lucia,1800,5.53,460.0,874.0,28.0,24000,North America
