price,brand,model,year,mileage,color,state
6300,toyota,cruiser,2008,274117.0,black,new jersey
2899,ford,se,2011,190552.0,silver,tennessee
5350,dodge,mpv,2018,39590.0,silver,georgia
25000,ford,door,2014,64146.0,blue,virginia
27700,chevrolet,1500,2018,6654.0,red,florida
5700,dodge,mpv,2018,45561.0,white,texas
7300,chevrolet,pk,2010,149050.0,black,georgia
13350,gmc,door,2017,23525.0,gray,california
14600,chevrolet,malibu,2018,9371.0,silver,florida
5250,ford,mpv,2017,63418.0,black,texas
10400,dodge,coupe,2009,107856.0,orange,georgia
12920,gmc,mpv,2017,39650.0,white,california
31900,chevrolet,1500,2018,22909.0,black,tennessee
5430,chrysler,wagon,2017,138650.0,gray,texas
20700,ford,door,2013,100757.0,black,virginia
12710,gmc,door,2017,25747.0,white,california
5200,kia,forte,2018,46194.0,blue,north carolina
16500,buick,encore,2018,20002.0,red,tennessee
5210,ford,mpv,2017,35714.0,white,texas
38100,ford,door,2013,54380.0,gray,virginia
12520,gmc,door,2017,30114.0,white,california
7300,kia,forte,2018,38823.0,black,north carolina
15000,chevrolet,door,2015,61578.0,black,ohio
6180,ford,mpv,2017,46010.0,blue,texas
20800,ford,door,2013,105510.0,silver,virginia
11900,gmc,door,2017,28040.0,silver,california
21500,kia,sorento,2020,11451.0,blue,north carolina
12000,buick,door,2014,31039.0,brown,ohio
4190,ford,doors,2017,44174.0,white,texas
13000,ford,chassis,2008,93698.0,white,tennessee
12710,gmc,door,2017,26364.0,silver,california
18500,infiniti,q70,2016,71967.0,gray,new york
29800,chevrolet,camaro,1973,46226.0,red,pennsylvania
5330,ford,mpv,2017,37792.0,no_color,texas
13000,ford,convertible,2003,58817.0,gray,virginia
11900,gmc,door,2017,27965.0,black,california
16600,mercedes-benz,vans,2016,110907.0,white,new york
19200,chevrolet,1500,2018,2430.0,white,tennessee
7320,ford,mpv,2017,32366.0,gold,texas
7000,ford,pk,2003,176567.0,white,tennessee
12710,gmc,door,2017,30049.0,white,california
